"filename", "language", "JavaScript", "JSON", "TypeScript", "YAML", "JSON with Comments", "HTML", "CSS", "TypeScript JSX", "Markdown", "SCSS", "MDX", "Ignore", "comment", "blank", "total"
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\Nav\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 3, 2, 57
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\SwitchAppearance\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 1, 11, 73
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\SwitchAppearance\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\logic\toggleAppearance.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\styles\base.css", "CSS", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 15, 32, 216
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\styles\vars.css", "CSS", 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 43, 65, 357
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\template.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\tsup.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\vitest.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11
"Total", "-", 1604, 43, 1104, 5396, 16, 38, 419, 344, 1, 148, 39, 8, 741, 1243, 11144
